STUDY_ID	SAMPLE_ID	CD274
brca_tcga	TCGA-AR-A1AR-01	0.3141
brca_tcga	TCGA-BH-A1EO-01	-0.288
brca_tcga	TCGA-BH-A1ES-01	-0.5875
brca_tcga	TCGA-BH-A1ET-01	-0.356
brca_tcga	TCGA-BH-A1EU-01	1.1224
brca_tcga	TCGA-BH-A1EV-01	-0.4683
brca_tcga	TCGA-BH-A1EW-01	0.4017
brca_tcga	TCGA-BH-A1F0-01	2.0745
brca_tcga	TCGA-C8-A1HF-01	-0.1197
brca_tcga	TCGA-C8-A1HG-01	-0.3785
brca_tcga	TCGA-C8-A1HI-01	-0.4821
brca_tcga	TCGA-C8-A1HL-01	-0.6487
brca_tcga	TCGA-C8-A1HM-01	2.6884
brca_tcga	TCGA-C8-A1HN-01	-0.5402
brca_tcga	TCGA-E2-A14N-01	-0.0032
brca_tcga	TCGA-E2-A15I-01	-0.0869
brca_tcga	TCGA-A2-A1FV-01	-0.6081
brca_tcga	TCGA-A2-A1FW-01	-0.3875
brca_tcga	TCGA-A2-A1FX-01	-0.3794
brca_tcga	TCGA-A2-A1G0-01	-0.136
brca_tcga	TCGA-A2-A1G1-01	1.5354
brca_tcga	TCGA-A2-A1G4-01	-0.3521
brca_tcga	TCGA-A2-A1G6-01	-0.2924
brca_tcga	TCGA-A7-A13G-01	-0.4391
brca_tcga	TCGA-AO-A1KO-01	-0.3055
brca_tcga	TCGA-AO-A1KP-01	-0.4797
brca_tcga	TCGA-AO-A1KS-01	-0.4662
brca_tcga	TCGA-AO-A1KT-01	-0.2868
brca_tcga	TCGA-AQ-A1H2-01	-0.4724
brca_tcga	TCGA-AQ-A1H3-01	-0.3021
brca_tcga	TCGA-B6-A1KC-01	-0.375
brca_tcga	TCGA-B6-A1KF-01	-0.6828
brca_tcga	TCGA-B6-A1KN-01	0.0196
brca_tcga	TCGA-BH-A1EN-01	2.065
brca_tcga	TCGA-BH-A1EX-01	-0.1057
brca_tcga	TCGA-BH-A1EY-01	0.154
brca_tcga	TCGA-BH-A1F2-01	-0.5684
brca_tcga	TCGA-BH-A1F5-01	-0.4164
brca_tcga	TCGA-BH-A1F6-01	0.2575
brca_tcga	TCGA-BH-A1F8-01	-0.3827
brca_tcga	TCGA-BH-A1FC-01	0.3229
brca_tcga	TCGA-BH-A1FD-01	0.8557
brca_tcga	TCGA-BH-A1FE-01	0.5893
brca_tcga	TCGA-BH-A1FG-01	-0.4509
brca_tcga	TCGA-BH-A1FH-01	-0.1087
brca_tcga	TCGA-BH-A1FJ-01	-0.4474
brca_tcga	TCGA-BH-A1FL-01	-0.2806
brca_tcga	TCGA-BH-A1FM-01	-0.4753
brca_tcga	TCGA-BH-A1FN-01	0.1934
brca_tcga	TCGA-BH-A1FR-01	-0.4515
brca_tcga	TCGA-C8-A1HE-01	-0.4402
brca_tcga	TCGA-C8-A1HJ-01	-0.3326
brca_tcga	TCGA-C8-A1HK-01	-0.5428
brca_tcga	TCGA-C8-A1HO-01	0.4117
brca_tcga	TCGA-D8-A1J8-01	1.8857
brca_tcga	TCGA-D8-A1J9-01	-0.3731
brca_tcga	TCGA-D8-A1JA-01	0.0621
brca_tcga	TCGA-D8-A1JB-01	0.3953
brca_tcga	TCGA-D8-A1JC-01	0.3719
brca_tcga	TCGA-D8-A1JD-01	-0.0793
brca_tcga	TCGA-D8-A1JE-01	0.1243
brca_tcga	TCGA-D8-A1JF-01	-0.3759
brca_tcga	TCGA-D8-A1JG-01	1.1879
brca_tcga	TCGA-D8-A1JH-01	0.034
brca_tcga	TCGA-D8-A1JI-01	-0.5606
brca_tcga	TCGA-D8-A1JK-01	0.6456
brca_tcga	TCGA-D8-A1JL-01	2.2742
brca_tcga	TCGA-D8-A1JM-01	-0.4165
brca_tcga	TCGA-D8-A1JN-01	-0.4263
brca_tcga	TCGA-D8-A1JP-01	-0.4767
brca_tcga	TCGA-D8-A1JS-01	-0.5128
brca_tcga	TCGA-D8-A1JT-01	0.744
