STUDY_ID	SAMPLE_ID	HLA-A	HLA-B	HLA-C
brca_tcga_pub	TCGA-A2-A0T2-01	-1.1425	-1.1021	-0.677
brca_tcga_pub	TCGA-A2-A04P-01	-0.2243	-0.4079	0.5775
brca_tcga_pub	TCGA-A1-A0SK-01	-2.6872	-2.1117	-2.9859
brca_tcga_pub	TCGA-A2-A0CM-01	0.9056	0.6831	1.021
brca_tcga_pub	TCGA-AR-A1AR-01	0.9537	0.5754	0.9164
brca_tcga_pub	TCGA-B6-A0WX-01	-0.4092	-0.389	-0.0658
brca_tcga_pub	TCGA-BH-A1F0-01	1.4888	1.4275	1.4198
brca_tcga_pub	TCGA-B6-A0I6-01	-1.0903	-0.9092	-1.6062
brca_tcga_pub	TCGA-BH-A18V-01	1.8418	1.76	1.5287
brca_tcga_pub	TCGA-BH-A18Q-01	1.7103	1.1677	1.7209
brca_tcga_pub	TCGA-BH-A18K-01	0.1352	0.0653	-0.2363
brca_tcga_pub	TCGA-BH-A0HL-01	0.6746	0.2149	0.5085
brca_tcga_pub	TCGA-BH-A0E0-01	-1.6226	-2.3682	-1.8393
brca_tcga_pub	TCGA-BH-A0RX-01	1.0643	1.2316	1.1156
brca_tcga_pub	TCGA-A7-A13D-01	-0.0598	-0.4281	-0.5898
brca_tcga_pub	TCGA-BH-A0E6-01	-0.3955	-0.5972	-0.201
brca_tcga_pub	TCGA-AO-A0J4-01	1.3293	0.9804	1.1272
brca_tcga_pub	TCGA-A7-A0CE-01	-0.0385	0.2707	-0.2063
brca_tcga_pub	TCGA-A7-A13E-01	-0.0801	-0.1053	-0.2943
brca_tcga_pub	TCGA-A7-A0DA-01	0.4831	0.7513	-0.1922
brca_tcga_pub	TCGA-D8-A142-01	-0.6181	-0.3718	-0.6697
brca_tcga_pub	TCGA-D8-A143-01	-0.0969	-0.3865	-0.1675
brca_tcga_pub	TCGA-AQ-A04J-01	0.4024	0.506	0.2015
brca_tcga_pub	TCGA-BH-A0HN-01	-1.3058	-1.4769	-1.8231
brca_tcga_pub	TCGA-A2-A0T0-01	-0.7617	-0.5859	-0.5336
brca_tcga_pub	TCGA-A2-A0YE-01	0.1469	-0.0504	0.709
brca_tcga_pub	TCGA-A2-A0YJ-01	-0.5425	-0.0543	-0.4207
brca_tcga_pub	TCGA-A2-A0D0-01	-0.3403	-0.3011	-0.6115
brca_tcga_pub	TCGA-A2-A04U-01	-1.8488	-2.3691	-2.1177
brca_tcga_pub	TCGA-AO-A0J6-01	1.0243	1.0631	1.0915
brca_tcga_pub	TCGA-A2-A0YM-01	0.6253	0.7282	0.422
brca_tcga_pub	TCGA-A2-A0D2-01	-0.3423	-0.3932	-0.0395
brca_tcga_pub	TCGA-BH-A0B3-01	2.0403	1.7186	2.1116
brca_tcga_pub	TCGA-A2-A04Q-01	1.5156	1.648	1.7984
brca_tcga_pub	TCGA-A2-A0SX-01	0.7395	1.3446	0.1275
brca_tcga_pub	TCGA-AO-A0JL-01	-0.7207	-0.5684	0.0698
brca_tcga_pub	TCGA-AO-A12F-01	-1.2469	-1.8349	-1.2608
brca_tcga_pub	TCGA-BH-A0B9-01	0.7462	0.7055	0.4245
brca_tcga_pub	TCGA-A2-A04T-01	-0.3256	-0.4576	-0.3913
brca_tcga_pub	TCGA-B6-A0RT-01	1.2603	1.5614	0.9446
brca_tcga_pub	TCGA-AO-A128-01	1.9405	2.2954	1.7367
brca_tcga_pub	TCGA-AO-A129-01	0.3699	0.3322	0.517
brca_tcga_pub	TCGA-AO-A124-01	0.4847	0.5399	0.0814
brca_tcga_pub	TCGA-B6-A0RU-01	-0.4033	-0.266	-0.121
brca_tcga_pub	TCGA-B6-A0IQ-01	-0.6304	-0.5499	-0.8659
brca_tcga_pub	TCGA-B6-A0I2-01	1.515	0.9201	1.1102
brca_tcga_pub	TCGA-B6-A0IJ-01	0.7807	0.7503	1.1351
brca_tcga_pub	TCGA-B6-A0X1-01	1.2601	1.6957	1.5566
brca_tcga_pub	TCGA-B6-A0RE-01	-0.041	-0.1223	-0.3606
brca_tcga_pub	TCGA-A2-A0ST-01	2.1949	2.2361	1.681
brca_tcga_pub	TCGA-AR-A0TP-01	-1.3987	-0.6742	-1.3081
brca_tcga_pub	TCGA-A1-A0SO-01	-0.9391	-1.907	-1.3762
brca_tcga_pub	TCGA-A8-A07C-01	-0.7285	-0.6629	-0.7256
brca_tcga_pub	TCGA-A8-A07O-01	-0.162	-0.7143	-0.4387
brca_tcga_pub	TCGA-A8-A07R-01	-0.2416	-0.2327	0.0217
brca_tcga_pub	TCGA-A8-A07U-01	1.7838	2.0001	1.8101
brca_tcga_pub	TCGA-A8-A08H-01	0.3126	0.3775	0.4662
brca_tcga_pub	TCGA-A8-A08R-01	0.2362	0.7297	0.6133
