STUDY_ID	SAMPLE_ID	JAK1	JAK2	STAT1	STAT3	IRF1	IFNGR1	IFNG
brca_tcga	TCGA-AR-A1AR-01	1.0046	0.8242	0.1528	-0.3812	0.1611	6.1266	-0.1008
brca_tcga	TCGA-BH-A1EO-01	0.7781	1.2919	-0.3346	1.1973	-0.4391	-0.0244	-0.2638
brca_tcga	TCGA-BH-A1ES-01	1.1038	-0.3529	-0.6985	-1.8508	-0.9331	-0.906	-0.3596
brca_tcga	TCGA-BH-A1ET-01	0.3048	1.0216	-0.3999	1.002	-0.1315	0.0345	-0.1523
brca_tcga	TCGA-BH-A1EU-01	0.8024	2.7554	0.3576	-0.3209	0.2301	0.5606	0.0986
brca_tcga	TCGA-BH-A1EV-01	-1.1638	-0.0234	-0.6625	-0.6014	-0.7999	-0.3603	-0.3596
brca_tcga	TCGA-BH-A1EW-01	0.0516	0.5059	0.6247	4.9445	0.266	-0.198	-0.3446
brca_tcga	TCGA-BH-A1F0-01	0.6643	3.6394	1.7936	4.8866	0.2428	1.5865	0.361
brca_tcga	TCGA-C8-A1HF-01	-0.5021	-0.1899	0.9084	-1.5383	1.5442	-0.3178	1.9787
brca_tcga	TCGA-C8-A1HG-01	0.2927	-0.2697	0.8864	-0.8453	0.7671	-0.3359	1.4825
brca_tcga	TCGA-C8-A1HI-01	-0.7589	-0.4388	-0.28	-0.9665	-0.5481	-0.1429	-0.3163
brca_tcga	TCGA-C8-A1HL-01	0.2947	-0.641	-0.802	-1.9276	-0.5172	-0.626	-0.338
brca_tcga	TCGA-C8-A1HM-01	-0.8566	0.4966	9.8289	0.3063	2.3956	-0.2724	10.3279
brca_tcga	TCGA-C8-A1HN-01	-0.9453	-0.5471	-0.7554	-1.9667	-0.6575	-0.2489	-0.2933
brca_tcga	TCGA-E2-A14N-01	-0.5358	-0.0429	2.015	-0.3903	-0.4655	1.3809	-0.2286
brca_tcga	TCGA-E2-A15I-01	-0.4386	1.5249	-0.5313	0.1169	0.2782	-0.03	-0.1673
brca_tcga	TCGA-A2-A1FV-01	0.1842	0.1525	-0.6887	-0.2842	-1.0632	-0.3444	-0.3469
brca_tcga	TCGA-A2-A1FW-01	-0.5204	-0.5906	-0.1077	-1.4214	-0.8467	-0.7085	-0.3596
brca_tcga	TCGA-A2-A1FX-01	-1.239	-0.7668	-0.3119	-1.2637	-0.8108	-0.9561	-0.3029
brca_tcga	TCGA-A2-A1G0-01	0.9181	0.0365	-0.6112	1.6568	-0.7964	-0.1854	-0.3596
brca_tcga	TCGA-A2-A1G1-01	0.3905	0.6905	1.0733	1.8078	0.8009	1.7723	0.7801
brca_tcga	TCGA-A2-A1G4-01	2.0607	-0.5465	-0.7753	0.7272	-0.8738	-1.0814	-0.3367
brca_tcga	TCGA-A2-A1G6-01	0.8666	0.2792	-0.825	-0.0063	-0.6284	1.9121	-0.3456
brca_tcga	TCGA-A7-A13G-01	-0.6905	-0.4189	-0.7808	0.7221	-0.626	-0.5632	-0.3596
brca_tcga	TCGA-AO-A1KO-01	0.5784	0.7678	-0.8602	0.1937	-1.0355	3.3761	-0.3176
brca_tcga	TCGA-AO-A1KP-01	-1.6118	-0.3291	-0.8468	-1.9501	-0.9059	-0.6233	-0.3596
brca_tcga	TCGA-AO-A1KS-01	-0.5667	0.6546	0.0136	-0.2149	-1.0532	0.6619	-0.3181
brca_tcga	TCGA-AO-A1KT-01	-1.1003	-1.1529	-0.7315	-0.3927	0.3778	-0.6451	-0.347
brca_tcga	TCGA-AQ-A1H2-01	-0.9394	-1.0229	1.5318	-0.1066	0.2237	-0.0473	-0.3386
brca_tcga	TCGA-AQ-A1H3-01	0.0316	-0.4616	-0.3041	4.573	-0.0804	0.0714	-0.3126
brca_tcga	TCGA-B6-A1KC-01	-1.2323	-0.443	-0.8117	-0.6166	-0.9292	-1.2049	-0.3596
brca_tcga	TCGA-B6-A1KF-01	-1.3435	-1.344	-1.0746	-1.5547	-1.0833	0.1199	-0.3596
brca_tcga	TCGA-B6-A1KN-01	0.3352	-0.1901	0.181	-0.5668	-0.1893	-0.5366	-0.323
brca_tcga	TCGA-BH-A1EN-01	-1.0315	-0.4289	-0.8758	-1.8613	-0.9332	-0.8078	-0.3596
brca_tcga	TCGA-BH-A1EX-01	0.3092	0.3076	-0.4167	1.2912	-0.2957	0.4859	-0.1718
brca_tcga	TCGA-BH-A1EY-01	-1.3905	4.1431	-0.0911	-1.2175	-0.0992	1.358	-0.3188
brca_tcga	TCGA-BH-A1F2-01	5.6163	-0.1385	-0.2085	-0.4396	-0.8841	1.9111	-0.3084
brca_tcga	TCGA-BH-A1F5-01	0.4271	2.0949	-0.5946	-1.4485	-0.5905	-0.5317	-0.3596
brca_tcga	TCGA-BH-A1F6-01	-0.8741	0.5576	-0.0054	-0.4421	0.2886	-0.3863	-0.2214
brca_tcga	TCGA-BH-A1F8-01	-0.9549	-0.8222	3.2122	0.5034	-0.8617	1.1157	-0.299
brca_tcga	TCGA-BH-A1FC-01	-1.1751	0.3908	1.2073	1.1391	1.6778	-0.7976	2.2279
brca_tcga	TCGA-BH-A1FD-01	-0.0782	0.5791	0.5849	-0.8581	1.3326	0.2533	-0.3596
brca_tcga	TCGA-BH-A1FE-01	1.4685	1.6093	0.8045	0.8725	-0.1836	-0.0538	-0.2017
brca_tcga	TCGA-BH-A1FG-01	0.3324	-0.8617	-0.2276	0.9111	-0.638	-0.2756	-0.3139
brca_tcga	TCGA-BH-A1FH-01	0.8077	0.5757	-0.5101	-0.028	-0.6856	0.2889	-0.3466
brca_tcga	TCGA-BH-A1FJ-01	1.7853	0.2038	-0.1887	-0.4742	-0.8239	-1.254	-0.3482
brca_tcga	TCGA-BH-A1FL-01	-1.3986	0.3564	-0.836	-0.2276	-0.3941	-0.7753	-0.3029
brca_tcga	TCGA-BH-A1FM-01	0.102	-0.3518	-0.4372	-1.5651	-1.0674	-0.8534	-0.2989
brca_tcga	TCGA-BH-A1FN-01	0.457	-0.5966	0.6662	1.4145	-0.5112	1.4188	-0.2782
brca_tcga	TCGA-BH-A1FR-01	-0.7612	-0.6656	-0.6746	0.5184	-0.4217	-0.0465	-0.2571
brca_tcga	TCGA-C8-A1HE-01	-0.192	0.1494	-0.3166	1.3489	-0.4471	-0.0406	-0.3484
brca_tcga	TCGA-C8-A1HJ-01	-1.104	-0.8755	-0.0235	-1.8136	-0.8578	0.783	0.007
brca_tcga	TCGA-C8-A1HK-01	-0.1264	-0.9025	0.2454	-1.2539	-0.5887	0.0569	-0.2339
brca_tcga	TCGA-C8-A1HO-01	0.0022	1.1725	2.1264	-2.0901	-0.0933	-1.5846	-0.3338
brca_tcga	TCGA-D8-A1J8-01	-1.2945	3.1222	0.6764	-1.2126	0.2243	3.5155	5.0887
brca_tcga	TCGA-D8-A1J9-01	-0.2114	-0.8429	0.8803	-0.8237	-0.6155	0.192	-0.2281
brca_tcga	TCGA-D8-A1JA-01	0.2041	-0.5564	1.7549	-0.7544	-0.7831	1.3102	-0.2348
brca_tcga	TCGA-D8-A1JB-01	0.1461	0.9285	1.0119	0.8706	1.0512	0.5682	0.5807
brca_tcga	TCGA-D8-A1JC-01	-0.8416	-0.3061	1.8121	1.3854	0.2389	0.541	-0.2447
brca_tcga	TCGA-D8-A1JD-01	-0.7509	-0.0925	-0.1553	-0.2328	-0.6027	-0.4701	-0.2885
brca_tcga	TCGA-D8-A1JE-01	0.0675	0.5824	1.1461	1.604	-0.3795	0.0535	-0.2881
brca_tcga	TCGA-D8-A1JF-01	-1.1361	-0.1373	-0.4712	0.3148	-0.7969	1.7451	-0.2504
brca_tcga	TCGA-D8-A1JG-01	0.0655	0.4089	2.0793	0.7033	1.4729	1.2055	0.7022
brca_tcga	TCGA-D8-A1JH-01	1.1888	0.3296	-0.5874	0.5077	-0.2133	0.2692	-0.2102
brca_tcga	TCGA-D8-A1JI-01	-0.4712	0.1403	-0.8595	1.1211	0.0569	-1.0522	-0.3434
brca_tcga	TCGA-D8-A1JK-01	0.3497	0.2011	1.6895	-0.5416	2.7717	1.5689	1.6757
brca_tcga	TCGA-D8-A1JL-01	0.5702	1.1431	4.1367	0.8003	0.5996	1.8139	0.746
brca_tcga	TCGA-D8-A1JM-01	0.5113	-1.526	-0.459	0.3735	0.593	-0.9238	0.2189
brca_tcga	TCGA-D8-A1JN-01	-0.1001	-0.2259	0.0874	-0.4455	0.2907	0.048	-0.186
brca_tcga	TCGA-D8-A1JP-01	-1.047	-0.806	-0.6587	0.3187	-0.4748	0.7222	-0.2792
brca_tcga	TCGA-D8-A1JS-01	-0.8186	-0.4808	-0.8159	-0.1689	-0.4238	0.1163	-0.3325
brca_tcga	TCGA-D8-A1JT-01	1.3408	0.1051	2.2585	-0.5814	-0.4458	-0.345	-0.3097
brca_tcga	TCGA-D8-A1JU-01	0.358	0.2826	-0.0637	0.4614	0.3092	0.462	0.203
brca_tcga	TCGA-E2-A1IE-01	-0.602	-0.7616	-0.7784	-0.3674	-0.9074	-1.3271	-0.3492
brca_tcga	TCGA-E2-A1IH-01	-0.132	0.4492	-0.0945	0.272	-0.1472	0.924	1.9763
brca_tcga	TCGA-E2-A1IN-01	-0.5679	-0.6684	-0.7517	0.3645	-0.5322	-0.5472	-0.3254
brca_tcga	TCGA-E2-A1L6-01	0.7719	1.6016	-0.5391	0.3755	-0.6249	0.2013	-0.3205
brca_tcga	TCGA-E2-A1L8-01	-0.8153	0.8283	-0.1717	0.5663	0.4269	0.0692	-0.3312
brca_tcga	TCGA-E2-A1L9-01	1.0673	1.2282	0.1377	1.1323	-0.1952	0.709	-0.258
brca_tcga	TCGA-EW-A1IW-01	-0.9667	-0.384	-0.6877	0.1493	-0.0752	0.8384	-0.2795
brca_tcga	TCGA-EW-A1IY-01	1.2357	3.3416	2.3872	0.4898	1.1096	2.4798	1.413
brca_tcga	TCGA-EW-A1IZ-01	-1.3313	0.0391	0.1615	-1.7399	1.2338	-0.401	3.723
brca_tcga	TCGA-EW-A1J1-01	0.1979	10.6916	0.9796	-0.5332	0.3366	-0.9323	0.0031
brca_tcga	TCGA-EW-A1J2-01	0.6927	-0.13	-0.3601	1.0671	0.0332	-0.0088	-0.265
brca_tcga	TCGA-EW-A1J3-01	0.4362	0.8934	-0.3393	0.8653	0.2433	0.0517	-0.3316
brca_tcga	TCGA-EW-A1J5-01	1.0215	0.5781	2.8216	2.1561	0.5717	-0.73	0.1584
brca_tcga	TCGA-EW-A1J6-01	-1.3784	0.5731	-0.1447	-1.1745	0.4619	-0.7176	0.1921
brca_tcga	TCGA-A1-A0SB-01	-0.3547	0.1381	-0.8667	-0.0529	-1.0977	-0.5418	-0.3596
